PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
2,2,2,1,49401,3,2,2010,36155,1972,361,,42.9876239,-85.934199,170000
2,2,1,1,49401,,,,,,,,42.981313,-85.978948,139900
1,113,1,1,49401,,,,,,,,42.975302,-85.884285,109000
2,114,1,1,49401,,,,,,,,42.965126,-85.959552,190000
2,115,2,1,49401,5,2.5,2200,23958,1999,256,,42.967859,-85.927064,179500
2,2,2,1,49401,3,2.5,1433,10628,1996,158,,42.969318,-85.923837,170000
2,69,1,1,49401,,,,,,,,42.965647,-85.91839,183000
2,2,2,1,49401,3,1,1132,54014,1940,213,,42.9762,-85.92382,112850
2,116,2,1,49401,5,3,2384,14374,1995,311,,42.967428,-85.954913,180400
2,117,1,1,49401,,,,,,,,42.989904,-85.964041,305000
2,2,1,1,49401,,,,10890,,,,42.971706,-85.924003,139900
2,69,2,1,49401,2,2,1377,13163,2003,91,,42.968711,-85.916845,182000
2,102,2,1,49401,3,2,1650,10018,1995,175,,42.977246,-85.931625,181000
1,118,2,1,49401,2,2,1876,,1994,21,150,42.976011,-85.938171,147000
2,119,2,1,49401,3,2.5,2497,12310,1966,276,,42.971587,-85.92704,188900
2,2,2,1,49401,4,2,2040,21867,1937,155,,42.9742559,-85.95381,132900
2,23,2,1,49401,4,2,1404,21780,2000,203,,42.964179,-85.931833,195000
2,120,2,1,49401,3,1.5,1358,13812,1972,273,,42.974617,-85.957526,165000
2,121,3,1,49315,,,,46174,,,,42.807616,-85.7124792,340000
2,121,3,1,49315,4,2.5,2738,12286,1993,242,,42.809655,-85.713699,240000
2,122,3,1,49315,4,4,4220,23570,1992,228,,42.822359,-85.727614,549000
2,123,3,1,49315,,,,12632,,,,42.822237,-85.705715,220000
2,124,3,1,49315,5,3.5,2794,15347,1998,343,7,42.815894,-85.703401,259000
2,125,3,1,49315,,,,10890,,,,42.81094,-85.722489,93500
2,126,3,1,49315,5,3.5,3037,19784,2016,44,25,42.8221379,-85.7442256,392000
1,127,3,1,49315,,,,,,,,42.8157559,-85.7154547,271800
1,128,3,1,49315,2,2.5,2506,,2006,219,235,42.813436,-85.733901,239000
1,129,3,1,49315,,,,,,,,42.8157559,-85.7154547,214645
2,130,3,1,49315,5,3.5,3615,19602,2008,56,,42.817658,-85.7412712,465000
2,131,3,1,49315,5,3.5,3001,12870,2015,218,60,42.801605,-85.718129,355000
2,132,3,1,49315,,,,,,,,42.8018106,-85.7146409,373353
2,133,3,1,49315,4,2.5,2414,11700,2004,58,7,42.816772,-85.706908,269900
1,134,3,1,49315,,,,,,,,42.805458,-85.718551,199000
2,133,3,1,49315,4,3.5,2682,11200,2002,256,7,42.817308,-85.70595,278000
2,135,3,1,49315,3,2.5,2005,19671,2016,220,,42.821411,-85.743235,443900
2,135,3,1,49315,4,2.5,2401,18150,2015,196,,42.822872,-85.746347,429900
2,124,3,1,49315,,,,10454,,,,42.8150919,-85.7058842,234000
2,136,3,1,49315,5,4.5,3860,33541,1999,183,,42.803086,-85.726781,419000
1,137,3,1,49315,,,,,,,,42.816788,-85.733668,225000
2,138,3,1,49315,,,,43560,,,,42.826134,-85.706348,169000
