LandUse,Acreage,TaxDistrict,LandValue,BuildingValue,FinishedArea,FoundationType,YearBuilt,Grade,Bedrooms,FullBath,HalfBath,Class
SINGLE FAMILY,0.51,URBAN SERVICES DISTRICT,70000,172500,2556.40002,FULL BSMT,1965,C   ,5,3,0,G
SINGLE FAMILY,0.52,URBAN SERVICES DISTRICT,23000,143400,1915.14001,FULL BSMT,1960,C   ,4,2,1,G
SINGLE FAMILY,0.2,URBAN SERVICES DISTRICT,26000,137200,1495.79999,FULL BSMT,1929,C   ,4,1,0,G
DUPLEX,0.17,URBAN SERVICES DISTRICT,214500,201700,2466,PT BSMT,1931,C   ,4,3,2,G
SINGLE FAMILY,1.08,URBAN SERVICES DISTRICT,34500,101400,1783,CRAWL,1959,C   ,4,1,1,G
DUPLEX,0.5,URBAN SERVICES DISTRICT,32000,114600,1725,FULL BSMT,1960,C   ,4,2,0,G
DUPLEX,0.14,URBAN SERVICES DISTRICT,30000,66900,1632,CRAWL,1975,C   ,4,2,0,G
DUPLEX,0.14,URBAN SERVICES DISTRICT,30000,66900,1632,CRAWL,1975,C   ,4,2,0,G
SINGLE FAMILY,0.17,URBAN SERVICES DISTRICT,140000,320300,2486.97498,PT BSMT,1949,C   ,4,3,0,G
SINGLE FAMILY,1.05,CITY OF GOODLETTSVILLE,35000,132000,1792,CRAWL,1977,C   ,4,2,0,G
DUPLEX,0.4,URBAN SERVICES DISTRICT,32000,121500,2208.25,FULL BSMT,1961,C   ,4,2,0,G
QUADPLEX,0.32,URBAN SERVICES DISTRICT,35100,231000,3438,CRAWL,1960,C   ,8,4,0,H
SINGLE FAMILY,0.58,URBAN SERVICES DISTRICT,34000,240500,3504,FULL BSMT,1960,C   ,6,3,1,H
SINGLE FAMILY,0.43,URBAN SERVICES DISTRICT,36500,133300,1936,CRAWL,1952,C   ,6,2,0,H
DUPLEX,0.37,URBAN SERVICES DISTRICT,25000,108400,2126.74001,FULL BSMT,1957,C   ,6,4,0,H
SINGLE FAMILY,0.26,URBAN SERVICES DISTRICT,38700,175600,2203.75,CRAWL,1945,C   ,5,3,0,H
SINGLE FAMILY,0.32,URBAN SERVICES DISTRICT,36500,143400,1903.5,FULL BSMT,1952,C   ,5,2,0,H
DUPLEX,0.41,URBAN SERVICES DISTRICT,32000,202400,2200,SLAB,1963,B   ,5,3,0,H
SINGLE FAMILY,0.36,URBAN SERVICES DISTRICT,25000,125700,1995,CRAWL,1957,C   ,5,2,0,H
SINGLE FAMILY,0.25,URBAN SERVICES DISTRICT,26000,109900,2000,FULL BSMT,1956,C   ,5,1,0,H
SINGLE FAMILY,0.22,URBAN SERVICES DISTRICT,27600,219500,2186,CRAWL,1952,C   ,4,2,0,H
SINGLE FAMILY,0.74,URBAN SERVICES DISTRICT,26000,124700,2200,FULL BSMT,1956,C   ,4,2,1,H
QUADPLEX,0.27,URBAN SERVICES DISTRICT,80000,111900,2700,CRAWL,1970,C   ,8,4,0,I
DUPLEX,0.28,URBAN SERVICES DISTRICT,30000,155800,1968,CRAWL,1992,C   ,6,3,1,I
DUPLEX,0.32,URBAN SERVICES DISTRICT,29900,124100,2811.75,FULL BSMT,1952,C   ,6,4,0,I
TRIPLEX,0.17,URBAN SERVICES DISTRICT,40000,96000,2075,CRAWL,1967,C   ,6,3,0,I
DUPLEX,0.12,URBAN SERVICES DISTRICT,13000,79600,2319,CRAWL,1959,D   ,6,3,0,I
SINGLE FAMILY,1.01,GENERAL SERVICES DISTRICT,35000,151400,3117,SLAB,1970,C   ,5,3,0,I
SINGLE FAMILY,1.2,URBAN SERVICES DISTRICT,39300,220500,2928,CRAWL,1967,C   ,5,3,0,I
SINGLE FAMILY,0.3,URBAN SERVICES DISTRICT,30000,241000,3675,PT BSMT,1951,C   ,5,2,2,I
SINGLE FAMILY,0.42,URBAN SERVICES DISTRICT,40000,161300,1986,PT BSMT,1949,C   ,5,3,0,I
SINGLE FAMILY,1.03,URBAN SERVICES DISTRICT,23000,129600,2016.00002,FULL BSMT,1958,C   ,5,2,0,I
SINGLE FAMILY,0.51,URBAN SERVICES DISTRICT,26000,144000,2189.5,FULL BSMT,1958,C   ,5,2,0,I
SINGLE FAMILY,0.37,URBAN SERVICES DISTRICT,26000,185400,2564.32507,CRAWL,1951,C   ,5,2,0,I
SINGLE FAMILY,0.44,URBAN SERVICES DISTRICT,27600,107100,1816,CRAWL,1964,C   ,5,3,0,I
SINGLE FAMILY,0.28,URBAN SERVICES DISTRICT,31000,133300,2870,CRAWL,1972,C   ,5,3,0,I
DUPLEX,0.98,GENERAL SERVICES DISTRICT,40000,124200,1973,FULL BSMT,1961,C   ,5,2,0,I
SINGLE FAMILY,0.23,URBAN SERVICES DISTRICT,24000,112300,1752,SLAB,1972,C   ,5,2,0,I
SINGLE FAMILY,0.39,GENERAL SERVICES DISTRICT,20000,113900,2225,CRAWL,1963,C   ,5,2,1,I
SINGLE FAMILY,0.23,GENERAL SERVICES DISTRICT,24000,121800,2052.96002,FULL BSMT,1964,C   ,5,2,0,I
SINGLE FAMILY,0.26,GENERAL SERVICES DISTRICT,20000,130700,2052.10001,FULL BSMT,1962,C   ,5,2,0,I
SINGLE FAMILY,0.29,URBAN SERVICES DISTRICT,28000,97200,1725,SLAB,1969,C   ,5,2,0,I
SINGLE FAMILY,0.36,GENERAL SERVICES DISTRICT,27000,147400,3065.09998,FULL BSMT,1968,C   ,5,3,0,I
SINGLE FAMILY,0.27,URBAN SERVICES DISTRICT,25000,175000,3002,CRAWL,1940,C   ,5,2,0,I
SINGLE FAMILY,0.82,URBAN SERVICES DISTRICT,20000,177200,3120,CRAWL,1975,C   ,5,3,0,I
SINGLE FAMILY,0.63,GENERAL SERVICES DISTRICT,30000,186800,2774,CRAWL,2003,C   ,4,2,1,I
SINGLE FAMILY,0.84,URBAN SERVICES DISTRICT,23000,147800,1738,FULL BSMT,1961,C   ,4,1,1,I
